Index	Title	Content
0	CMU	Author of the danger trail, Philip Steels, etc.
1	CMU	Not at this particular case, Tom, apologized Whittemore.
2	CMU	For the twentieth time that evening the two men shook hands.
3	CMU	Lord, but I'm glad to see you again, Phil.
4	CMU	Will we ever forget it.
5	CMU	God bless 'em, I hope I'll go on seeing them forever.
6	CMU	And you always want to see it in the superlative degree.
7	CMU	Gad, your letter came just in time.
8	CMU	He turned sharply, and faced Gregson across the table.
9	CMU	I'm playing a single hand in what looks like a losing game.
10	CMU	If I ever needed a fighter in my life I need one now.
11	CMU	Gregson shoved back his chair and rose to his feet.
12	CMU	He was a head shorter than his companion, of almost delicate physique.
13	CMU	Now you're coming down to business, Phil, he exclaimed.
14	CMU	It's the aurora borealis.
15	CMU	There's Fort Churchill, a rifle-shot beyond the ridge, asleep.
16	CMU	From that moment his friendship for Belize turns to hatred and jealousy.
17	CMU	There was a change now.
18	CMU	I followed the line of the proposed railroad, looking for chances.
19	CMU	Clubs and balls and cities grew to be only memories.
20	CMU	It fairly clubbed me into recognizing it.
21	CMU	Hardly were our plans made public before we were met by powerful opposition.
22	CMU	A combination of Canadian capital quickly organized and petitioned for the same privileges.
23	CMU	It was my reports from the north which chiefly induced people to buy.
24	CMU	I was about to do this when cooler judgment prevailed.
25	CMU	It occurred to me that there would have to be an accounting.
26	CMU	To my surprise he began to show actual enthusiasm in my favor.
27	CMU	Robbery, bribery, fraud, 
28	CMU	Their forces were already moving into the north country.
29	CMU	I had faith in them.
30	CMU	They were three hundred yards apart.
31	CMU	Since then some mysterious force has been fighting us at every step.
32	CMU	He unfolded a long typewritten letter, and handed it to Gregson.
33	CMU	Men of Selden's stamp don't stop at women and children.
34	CMU	He stopped, and Philip nodded at the horrified question in his eyes.
35	CMU	She turned in at the hotel.
36	CMU	I was the only one who remained sitting.
37	CMU	We'll have to watch our chances.
38	CMU	The ship should be in within a week or ten days.
39	CMU	I suppose you wonder why she is coming up here.
40	CMU	Meanwhile I'll go out to breathe a spell.
41	CMU	How could he explain his possession of the sketch.
42	CMU	It seemed nearer to him since he had seen and talked with Gregson.
43	CMU	Her own betrayal of herself was like tonic to Philip.
44	CMU	He moved away as quietly as he had come.
45	CMU	The girl faced him, her eyes shining with sudden fear.
46	CMU	Close beside him gleamed the white fangs of the wolf-dog.
47	CMU	He looked at the handkerchief more, closely.
48	CMU	Gregson was asleep when he re-entered the cabin.
49	CMU	In spite of their absurdity the words affected Philip curiously.
50	CMU	The lace was of a delicate ivory color, faintly tinted with yellow.
51	CMU	It was a curious coincidence.
52	CMU	Suddenly his fingers closed tightly over the handkerchief.
53	CMU	There was nothing on the rock.
54	CMU	Philip stood undecided, his ears strained to catch the slightest sound.
55	CMU	Pearce's little eyes were fixed on him shrewdly.
56	CMU	I have no idea, replied Philip.
57	CMU	I came for information more out of curiosity than anything else.
58	CMU	His immaculate appearance was gone.
59	CMU	Anyway, no one saw her like that.
60	CMU	Philip snatched at the letter which Gregson held out to him.
61	CMU	The men stared into each other's face.
62	CMU	Yes, it was a man who asked, a stranger.
63	CMU	The fourth and fifth days passed without any developments.
64	CMU	They closed now until his fingers were like cords of steel.
65	CMU	He saw Jeanne falter for a moment.
66	CMU	Surely I will excuse you, she cried.
67	CMU	In a flash Philip followed its direction.
68	CMU	It was his intention to return to Eileen and her father.
